"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_COUNTRY","ORIGIN_COUNTRY_NAME","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_COUNTRY","DEST_COUNTRY_NAME","DEST_WAC","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS","DATA_SOURCE",
1.00,1.00,49300.00,176.00,151.00,0.00,0.00,867.00,166.00,127.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts","US","United States",13,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"622",1,2016,4,11,2,"F","DU",
1.00,1.00,80700.00,209.00,29.00,0.00,0.00,867.00,138.00,119.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts","US","United States",13,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"626",1,2016,4,11,2,"F","DU",
1.00,1.00,52300.00,176.00,164.00,0.00,413.00,599.00,141.00,78.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina","US","United States",36,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"622",1,2016,4,11,2,"F","DU",
1.00,1.00,50200.00,181.00,161.00,0.00,0.00,612.00,136.00,100.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,11278,1127803,30852,"DCA","Washington, DC","VA","51","Virginia","US","United States",38,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"699",1,2016,4,11,2,"F","DU",
1.00,1.00,35600.00,128.00,113.00,4.00,0.00,802.00,128.00,104.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas","US","United States",74,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"698",1,2016,4,11,2,"F","DU",
1.00,1.00,39900.00,160.00,121.00,0.00,0.00,235.00,107.00,48.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan","US","United States",43,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"614",1,2016,4,11,1,"F","DU",
1.00,1.00,51700.00,187.00,166.00,0.00,0.00,588.00,98.00,80.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,12278,1227803,30928,"ICT","Wichita, KS","KS","20","Kansas","US","United States",62,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"699",1,2016,4,11,2,"F","DU",
1.00,1.00,49500.00,184.00,140.00,1465.00,0.00,1744.00,255.00,214.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,12892,1289204,32575,"LAX","Los Angeles, CA","CA","06","California","US","United States",91,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"622",1,2016,4,11,4,"F","DU",
1.00,1.00,35600.00,128.00,127.00,0.00,0.00,1744.00,247.00,212.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,12892,1289204,32575,"LAX","Los Angeles, CA","CA","06","California","US","United States",91,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"698",1,2016,4,11,4,"F","DU",
1.00,1.00,35300.00,140.00,138.00,0.00,0.00,1005.00,177.00,158.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13204,1320402,31454,"MCO","Orlando, FL","FL","12","Florida","US","United States",33,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"655",1,2016,4,11,3,"F","DU",
1.00,1.00,136200.00,310.00,300.00,8068.00,1019.00,1197.00,213.00,168.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida","US","United States",33,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"637",1,2016,4,11,3,"F","DU",
1.00,1.00,92237.00,289.00,258.00,35.00,1494.00,1197.00,207.00,168.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida","US","United States",33,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,8,"822",1,2016,4,11,3,"F","DU",
1.00,1.00,40400.00,160.00,154.00,0.00,0.00,1700.00,235.00,217.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13891,1389101,32575,"ONT","Ontario, CA","CA","06","California","US","United States",91,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,6,"614",1,2016,4,11,4,"F","DU",
1.00,1.00,49300.00,176.00,163.00,9.00,265.00,867.00,137.00,107.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts","US","United States",13,6,"622",1,2016,4,11,2,"F","DU",
1.00,1.00,80700.00,209.00,58.00,0.00,0.00,867.00,138.00,105.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts","US","United States",13,6,"626",1,2016,4,11,2,"F","DU",
1.00,1.00,50200.00,181.00,141.00,0.00,0.00,867.00,131.00,113.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,10721,1072102,30721,"BOS","Boston, MA","MA","25","Massachusetts","US","United States",13,6,"699",1,2016,4,11,2,"F","DU",
1.00,1.00,52300.00,176.00,154.00,0.00,0.00,599.00,125.00,89.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina","US","United States",36,6,"622",1,2016,4,11,2,"F","DU",
1.00,1.00,136200.00,310.00,251.00,9493.00,2236.00,802.00,127.00,102.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas","US","United States",74,6,"637",1,2016,4,11,2,"F","DU",
1.00,1.00,35600.00,128.00,94.00,51.00,692.00,802.00,158.00,115.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas","US","United States",74,6,"698",1,2016,4,11,2,"F","DU",
1.00,1.00,39900.00,160.00,65.00,0.00,0.00,235.00,75.00,50.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan","US","United States",43,6,"614",1,2016,4,11,1,"F","DU",
1.00,1.00,51700.00,187.00,147.00,357.00,0.00,740.00,144.00,100.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,12478,1247803,31703,"JFK","New York, NY","NY","36","New York","US","United States",22,6,"699",1,2016,4,11,2,"F","DU",
1.00,1.00,49500.00,184.00,148.00,2375.00,918.00,1744.00,256.00,219.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,12892,1289204,32575,"LAX","Los Angeles, CA","CA","06","California","US","United States",91,6,"622",1,2016,4,11,4,"F","DU",
1.00,1.00,35300.00,140.00,93.00,0.00,0.00,403.00,90.00,66.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri","US","United States",64,6,"655",1,2016,4,11,1,"F","DU",
1.00,1.00,35300.00,140.00,116.00,0.00,0.00,1005.00,143.00,122.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,13204,1320402,31454,"MCO","Orlando, FL","FL","12","Florida","US","United States",33,6,"655",1,2016,4,11,3,"F","DU",
1.00,1.00,35600.00,128.00,76.00,846.00,0.00,1197.00,191.00,151.00,"AA",19805,"American Airlines Inc.","0A050","D","AA","American Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois","US","United States",41,13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida","US","United States",33,6,"698",1,2016,4,11,3,"F","DU",
